ID,Profile ID,Employment Dates,Place of Employment,Description of Responsibilities
1,2,2007,MPSR,Domestica
2,43,05/ 2007,Nica,Nica meeting
3,43,05/ 2008,Nica,Nica meeting
4,57,12/ 2006,MPSR,Housekeeper
5,94,12/ 2015,M Playa Santa Rosa,Domestica temporal
6,94,06/ 2015,M Playa Santa Rosa,Domestica
7,112,2011-2012,En el Colegio,Vigilante..
8,156,,Home Laundry Business,Washes and irons laundry for people in the town
9,167,09/ 2011,Limpieza Internacional de Costas,Muy Buena.
10,202,05/2007 - 05/2008,El Pozo Privado,"NICA put a generator at the private well, owned by Gerardo's family.  NICA made an agreement to pay Gerardo $250 to run the well and distribute water to the residents and NICA would collect the money to put diesel in the generator.  Gerardo was a good employee and always did his job on time and well."
11,244,05/ 2012,Trabajo de electricidad en Casa de Jonathan Butcher.,"El es una persona inresponsable ya que el hizo un trato con la señora Terri,de instalar el sistema electrico por la cantidad de C$ 200 y si la luz electrica no funcionaba en un lapso de tiempo de hora y media,El regresaria el dinero. Lo cual no cumplio ya que la luz electrica no funciono asta que union fenosa instalo el servicio. El cual cuando se llamo para hablar con el para reclamar por el servivio el no llego a la casa inmediatamente ya que no quiso ir porque se encontraba jugando beisbol.Despues de 1 hora llego a casa y amenazo con quitar el servicio de energia electrica lo cual no tenia ningun derecho ya que no hizo ningun trabajo y se quedo con el dinero..."
12,256,08/ 2012,Verano Limpio,
13,284,09/ 2012,Maestro de Obra,Encargado de todas los proyectos de construccion que NICA realice en el transito.
14,459,04/ 2012,Verano Limpio,
